District,Station
Koppal,Koppal CEN Crime PS
Koppal,Koppal Rural PS
Koppal,Koppal Town PS
Koppal,Koppal Traffic PS
Koppal,Koppal Women PS
Koppal,Kuknoor PS
Koppal,Kushtagi PS
Koppal,Lokayukta Koppal
Koppal,MCU Koppal
Koppal,Munirabad PS
Koppal,SMMC Koppal
Koppal,State INT Koppal
Koppal,Tavaregera PS
Koppal,Yelburga PS
Mandya,Arakere PS
Mandya,Basaralu PS
Mandya,Belakavadi PS
Mandya,Bellur PS
Mandya,Besagaraghalli PS
Mandya,Bindiganavile PS
Mandya,Computer Sec Mandya
Mandya,Control Room Mandya
Mandya,DAR Mandya
Mandya,DCRB Mandya
Mandya,DCRE Mandya
Mandya,DPO Mandya
Mandya,DSB Mandya
Mandya,ESCOM Mandya
Mandya,FPB Mandya
Mandya,Halagur PS
Mandya,K.M. Doddi PS
Mandya,K.R. Pet Rural PS
Mandya,K.R. Pet Town PS
Mandya,K.R. Sagar PS
Mandya,Keragodu PS
Mandya,Kesthur PS
Mandya,Kikkeri PS
Mandya,Kirugavalu PS
Mandya,Koppa PS
Mandya,Lokayukta Mandya
Mandya,MCU Mandya
Mandya,Maddur PS
Mandya,Maddur Traffic PS
Mandya,Malavalli Rural PS
Mandya,Malavalli Town PS
Mandya,Mandya
Mandya,Mandya CEN Crime PS
Mandya,Mandya Central PS
Mandya,Mandya East PS
Mandya,Mandya Rural PS
Mandya,Mandya Traffic PS
Mandya,Mandya West PS
Mandya,Mandya Women PS
Mandya,Melukote PS
Mandya,Nagamangala Rural PS
Mandya,Nagamangala Town PS
Mandya,Pandavapura PS
Mandya,SMMC Mandya
Mandya,Shivalli PS
Mandya,Srirangapatna PS
Mandya,Srirangapatna Rural PS
Mandya,State INT Mandya
Mangaluru City,Bajpe PS
Mangaluru City,Barke PS
Mangaluru City,CEN Crime PS Mangaluru City
Mangaluru City,Computer Sec Mangaluru City
Mangaluru City,Control Room Mangaluru City
Mangaluru City,DAR Mangaluru City
Mangaluru City,DCRB Mangaluru City
Mangaluru City,DCRE Mangaluru City
Mangaluru City,DPO Mangaluru City
Mangaluru City,DSB Mangaluru City
Mangaluru City,E and N Crime PS Mangaluru City
Mangaluru City,ESCOM Mangaluru City
Mangaluru City,FPB Mangaluru City
Mangaluru City,Kankanady Town PS
Mangaluru City,Kavoor PS
Mangaluru City,Lokayukta Mangaluru City
Mangaluru City,MCU Mangaluru City
Mangaluru City,Mangalore East PS
Mangaluru City,Mangalore East Traffic PS
Mangaluru City,Mangalore North PS
Mangaluru City,Mangalore Rural PS
Mangaluru City,Mangalore South PS
Mangaluru City,Mangalore West Traffic PS
Mangaluru City,Mangalore Women PS
Mangaluru City,Mangaluru City
Mangaluru City,Moodabidre PS
Mangaluru City,Mulki PS
Mangaluru City,SMMC Mangaluru City
Mangaluru City,State INT Mangaluru City
Mangaluru City,Surathkal PS
Mangaluru City,Traffic North Police Station
Mangaluru City,Traffic South Police Station
Mangaluru City,Ullal PS
Mangaluru City,Urva PS
Mysuru City,Alanahally PS
Mysuru City,Ashokpuram PS
Mysuru City,CEN Crime PS Mysuru City
Mysuru City,Computer Sec Mysuru City
Mysuru City,Control Room Mysuru City
Mysuru City,DAR Mysuru City
Mysuru City,DCRB Mysuru City
Mysuru City,DCRE Mysuru City
Mysuru City,DPO Mysuru City
Mysuru City,DSB Mysuru City
Mysuru City,Devaraja PS
Mysuru City,Deveraja Traffic PS
Mysuru City,E and N Crime PS Mysuru City
Mysuru City,ESCOM Mysuru City
Mysuru City,FPB Mysuru City
Mysuru City,Hebbal PS
Mysuru City,Jayalakshmipuram PS
Mysuru City,Krishnaraja PS
Mysuru City,Krishnaraja Traffic PS
Mysuru City,Kuvempunagar PS
Mysuru City,Lashkar PS
Mysuru City,Laxmipuram PS
Mysuru City,Lokayukta Mysuru City
Mysuru City,MCU Mysuru City
Mysuru City,Mandi PS
Mysuru City,Metagalli PS
Mysuru City,Mysuru City
Mysuru City,Mysuru City Women PS
Mysuru City,Narasimharaja PS
Mysuru City,Narasimharaja Traffic PS
Mysuru City,Nazarbad PS
Mysuru City,SMMC Mysuru City
Mysuru City,Saraswathipuram PS
Mysuru City,Siddarthanagar Traffic PS
Mysuru City,State INT Mysuru City
Mysuru City,Udayagiri PS
Mysuru City,V V Puram Traffic PS
Mysuru City,V.V. Puram PS
Mysuru City,Vidyaranyarpuram PS
Mysuru City,Vijayanagar PS
Mysuru Dist,Bannur PS
Mysuru Dist,Beechanahalli PS
Mysuru Dist,Bettadapura PS
Mysuru Dist,Biligere PS
Mysuru Dist,Bilikere PS
Mysuru Dist,Bylakuppe PS
Mysuru Dist,Computer Sec Mysuru Dist
Mysuru Dist,Control Room Mysuru Dist
Mysuru Dist,DAR Mysuru Dist
Mysuru Dist,DCRB Mysuru Dist
Mysuru Dist,DCRE Mysuru Dist
Mysuru Dist,DPO Mysuru Dist
Mysuru Dist,DSB Mysuru Dist
Mysuru Dist,ESCOM Mysuru Dist
Mysuru Dist,FPB Mysuru Dist
Mysuru Dist,H.D. Kote PS
Mysuru Dist,Hullahalli PS
Mysuru Dist,Hunusur Rural PS
Mysuru Dist,Hunusur Town PS
Mysuru Dist,Jayapura PS
Mysuru Dist,K.R. Nagar PS
Mysuru Dist,Kowlande PS
Mysuru Dist,Lokayukta Mysuru Dist
Mysuru Dist,MCU Mysuru Dist
Mysuru Dist,Mysuru CEN Crime PS
Mysuru Dist,Mysuru Dist
Mysuru Dist,Mysuru South PS
Mysuru Dist,Mysuru Women PS
Mysuru Dist,Nanjanagudu Rural PS
Mysuru Dist,Nanjanagudu Town PS
Mysuru Dist,Nanjangudu Traffic PS
Mysuru Dist,Periyapatna PS
Mysuru Dist,SMMC Mysuru Dist
Mysuru Dist,Saligrama PS
Mysuru Dist,Saragur PS
Mysuru Dist,State INT Mysuru Dist
Mysuru Dist,T. Narasipura PS
Mysuru Dist,Talakadu PS
Mysuru Dist,Varuna PS
Mysuru Dist,Yelawala PS
Raichur,Balaganoor PS
Raichur,Computer Sec Raichur
Raichur,Control Room Raichur
Raichur,DAR Raichur
Raichur,DCRB Raichur
Raichur,DCRE Raichur
Raichur,DPO Raichur
Raichur,DSB Raichur
Raichur,Devadurga PS
Raichur,Devadurga Traffic PS
Raichur,ESCOM Raichur
Raichur,FPB Raichur
Raichur,Gabbur PS
Raichur,Hutti PS
Raichur,Idapanur PS
Raichur,Jalhalli PS
Raichur,Kowthal PS
Raichur,Lingasugur PS
Raichur,Lokayukta Raichur
Raichur,MCU Raichur
Raichur,Manvi PS
Raichur,Market Yard PS
Raichur,Maski PS
Raichur,Mudgal PS
Raichur,Netajinagar PS
Raichur,Raichur
Raichur,Raichur CEN Crime PS
Raichur,Raichur Rural PS
Raichur,Raichur Traffic PS
Raichur,Raichur West PS
Raichur,Raichur Women PS
Raichur,SMMC Raichur
Raichur,Sadar Bazar PS
Raichur,Shakti Nagar PS
Raichur,Sindanoor Rural PS
Raichur,Sindanur Traffic PS
Raichur,Sindhanoor Town PS
Raichur,Sirwar PS
Raichur,State INT Raichur
Raichur,Turvihal PS
Raichur,Yapaladinni PS
Raichur,Yeregera PS
Ramanagara,Akkur PS
Ramanagara,Bidadi PS
Ramanagara,Channapatna East PS
Ramanagara,Channapatna Rural PS
Ramanagara,Channapatna Town PS
Ramanagara,Channapatna Traffic PS
Ramanagara,Computer Sec Ramanagara
Ramanagara,Control Room Ramanagara
Ramanagara,DAR Ramanagara
Ramanagara,DCRB Ramanagara
Ramanagara,DCRE Ramanagara
Ramanagara,DPO Ramanagara
Ramanagara,DSB Ramanagara
Ramanagara,ESCOM Ramanagara
Ramanagara,FPB Ramanagara
Ramanagara,Harohalli PS
Ramanagara,Ijoor PS
Ramanagara,Kaggalipura PS
Ramanagara,Kanakapura Rural PS
Ramanagara,Kanakapura Town PS
Ramanagara,Kanakapura Traffic PS
Ramanagara,Kodihalli PS
Ramanagara,Kudur PS
Ramanagara,Kumbalagudu PS
Ramanagara,Lokayukta Ramanagara
Ramanagara,M.K. Doddi PS
Ramanagara,MCU Ramanagara
Ramanagara,Magadi PS
Ramanagara,Ramanagara
Ramanagara,Ramanagara CEN Crime PS
Ramanagara,Ramanagara Rural PS
Ramanagara,Ramanagara Town PS
Ramanagara,Ramanagara Traffic PS
Ramanagara,Ramanagara Women PS
Ramanagara,SMMC Ramanagara
Ramanagara,Sathanoor PS
Ramanagara,State INT Ramanagara
Ramanagara,Tavarekere PS
Shivamogga,Agumbe PS
Shivamogga,Anandapura PS
Shivamogga,Anavatti PS
Shivamogga,Bhadravathi New Town PS
Shivamogga,Bhadravathi Old Town PS
Shivamogga,Bhadravathi Rural PS
Shivamogga,Bhadravathi Traffic PS
Shivamogga,Computer Sec Shivamogga
Shivamogga,Control Room Shivamogga
Shivamogga,DAR Shivamogga
Shivamogga,DCRB Shivamogga
Shivamogga,DCRE Shivamogga
Shivamogga,DPO Shivamogga
Shivamogga,DSB Shivamogga
Shivamogga,Doddapete PS
Shivamogga,ESCOM Shivamogga
Shivamogga,FPB Shivamogga
Shivamogga,Holehonnur PS
Shivamogga,Hosamane PS
Shivamogga,Hosanagara PS
Shivamogga,Jayanagara PS
Shivamogga,Kargal PS
Shivamogga,Kote PS
Shivamogga,Kumsi PS
Shivamogga,Lokayukta Shivamogga
Shivamogga,MCU Shivamogga
Shivamogga,Malur PS
Shivamogga,Nagara PS
Shivamogga,Paper Town PS
Shivamogga,Ripponpet PS
Shivamogga,SMMC Shivamogga
Shivamogga,Sagar Rural PS
Shivamogga,Sagar Town PS
Shivamogga,Shikaripura Rural PS
Shivamogga,Shikaripura Town PS
Shivamogga,Shiralakoppa PS
Shivamogga,Shivamogga
Shivamogga,Shivamogga CEN Crime PS
Shivamogga,Shivamogga East Traffic PS
Shivamogga,Shivamogga Rural PS
Shivamogga,Shivamogga West Traffic PS
Shivamogga,Shivamogga Women PS
Shivamogga,Soraba PS
Shivamogga,State INT Shivamogga
Shivamogga,Thirthahalli PS
Shivamogga,Tunga Nagar PS
Shivamogga,Vinobanagara PS
Tumakuru,Amruthur PS
Tumakuru,Arasikere PS
Tumakuru,Badavanahalli PS
Tumakuru,Bellavi PS
Tumakuru,Chandrashekarpura PS
Tumakuru,Chelur PS
Tumakuru,Chikkanayakanahalli PS
Tumakuru,Computer Sec Tumakuru
Tumakuru,Control Room Tumakuru
Tumakuru,DAR Tumakuru
Tumakuru,DCRB Tumakuru
Tumakuru,DCRE Tumakuru
Tumakuru,DPO Tumakuru
Tumakuru,DSB Tumakuru
Tumakuru,Dandina Shivara PS
Tumakuru,ESCOM Tumakuru
Tumakuru,FPB Tumakuru
Tumakuru,Gubbi PS
Tumakuru,Handanakere PS
Tumakuru,Hebbur PS
Tumakuru,Honnavalli PS
Tumakuru,Huliyar PS
Tumakuru,Huliyurdurga PS
Tumakuru,Jayanagara PS
Tumakuru,Kallambella PS
Tumakuru,Kibbanhalli PS
Tumakuru,Kodigenahalli PS
Tumakuru,Kolala PS
Tumakuru,Kora PS
Tumakuru,Koratagere PS
Tumakuru,Kunigal PS
Tumakuru,Kyathasandra PS
Tumakuru,Lokayukta Tumakuru
Tumakuru,MCU Tumakuru
Tumakuru,Madhugiri PS
Tumakuru,Medigeshi PS
Tumakuru,New Extention PS
Tumakuru,Nonavinakere PS
Tumakuru,Patanayakanahalli PS
Tumakuru,Pavagada PS
Tumakuru,SMMC Tumakuru
Tumakuru,Sira PS
Tumakuru,State INT Tumakuru
Tumakuru,Tavarekere PS
Tumakuru,Thilak Park PS
Tumakuru,Thirumani PS
Tumakuru,Tiptur Rural PS
Tumakuru,Tiptur Town PS
Tumakuru,Tumakuru
Tumakuru,Tumakuru CEN Crime PS
Tumakuru,Tumakuru Rural PS
Tumakuru,Tumakuru Town PS
Tumakuru,Tumakuru Traffic PS
Tumakuru,Tumakuru Women PS
Tumakuru,Turuvekere PS
Tumakuru,Y.N. Hosakote PS
Udupi,Ajekar PS
Udupi,Amasebailu PS
Udupi,Brahmavar PS
Udupi,Byndoor PS
Udupi,Computer Sec Udupi
Udupi,Control Room Udupi
Udupi,DAR Udupi
Udupi,DCRB Udupi
Udupi,DCRE Udupi
Udupi,DPO Udupi
Udupi,DSB Udupi
Udupi,ESCOM Udupi
Udupi,FPB Udupi
Udupi,Gangolli PS
Udupi,Hebri PS
Udupi,Hiriadka PS
Udupi,Kapu PS
Udupi,Karkala Rural PS
Udupi,Karkala Town PS
Udupi,Kollur PS
Udupi,Kota PS
Udupi,Kundapura PS
Udupi,Kundapura Rural PS
Udupi,Kundapura Traffic PS
Udupi,Lokayukta Udupi
Udupi,MCU Udupi
Udupi,Malpe PS
Udupi,Manipal PS
Udupi,Padubidri PS
Udupi,SMMC Udupi
Udupi,Shankaranarayana PS
Udupi,Shirva PS
Udupi,State INT Udupi
Udupi,Udupi
Udupi,Udupi CEN Crime PS
Udupi,Udupi Town PS
Udupi,Udupi Traffic PS
Udupi,Udupi Women PS
Uttara Kannada,Ambikanagar PS
Uttara Kannada,Ankola PS
Uttara Kannada,Banavasi PS
Uttara Kannada,Bhatkal Rural PS
Uttara Kannada,Bhatkal Town PS
Uttara Kannada,Chittakula PS
Uttara Kannada,Computer Sec Uttara Kannada
Uttara Kannada,Control Room Uttara Kannada
Uttara Kannada,DAR Uttara Kannada
Uttara Kannada,DCRB Uttara Kannada
Uttara Kannada,DCRE Uttara Kannada
Uttara Kannada,DPO Uttara Kannada
Uttara Kannada,DSB Uttara Kannada
Uttara Kannada,Dandeli Rural PS
Uttara Kannada,Dandeli Town PS
Uttara Kannada,ESCOM Uttara Kannada
Uttara Kannada,FPB Uttara Kannada
Uttara Kannada,Gokarna PS
Uttara Kannada,Haliyal PS
Uttara Kannada,Honnavara PS
Uttara Kannada,Joida PS
Uttara Kannada,Kadra PS
Uttara Kannada,Karwar Railway PS
Uttara Kannada,Karwar Rural PS
Uttara Kannada,Karwar Town PS
Uttara Kannada,Karwar Traffic PS
Uttara Kannada,Kumta PS
Uttara Kannada,Lokayukta Uttara Kannada
Uttara Kannada,MCU Uttara Kannada
Uttara Kannada,Mallapura PS
Uttara Kannada,Manki PS
Uttara Kannada,Mundgod PS
Uttara Kannada,Murudeshwar PS
Uttara Kannada,Ramanagar PS
Uttara Kannada,SMMC Uttara Kannada
Uttara Kannada,Siddapura PS
Uttara Kannada,Sirsi New Market PS
Uttara Kannada,Sirsi Rural PS
Uttara Kannada,Sirsi Town PS
Uttara Kannada,State INT Uttara Kannada
Uttara Kannada,UK CEN Crime PS
Uttara Kannada,UK Women PS
Uttara Kannada,Uttara Kannada
Uttara Kannada,Yellapura PS
Vijayanagara,Arasikere PS
Vijayanagara,Chigateri PS
Vijayanagara,Chittavadagi PS
Vijayanagara,Computer Sec Vijayanagara
Vijayanagara,Control Room Vijayanagara
Vijayanagara,DAR Vijayanagara
Vijayanagara,DCRB Vijayanagara
Vijayanagara,DCRE Vijayanagara
Vijayanagara,DPO Vijayanagara
Vijayanagara,DSB Vijayanagara
Vijayanagara,ESCOM Vijayanagara
Vijayanagara,FPB Vijayanagara
Vijayanagara,Gudekote PS
Vijayanagara,Hadagali PS
Vijayanagara,Hagaribommanahalli PS
Vijayanagara,Halavagilu PS
Vijayanagara,Hampi Tourism PS
Vijayanagara,Hampi Traffic PS
Vijayanagara,Harapanahalli PS
Vijayanagara,Hirehadagali PS
Vijayanagara,Hosahalli PS
Vijayanagara,Hospet Extention PS
Vijayanagara,Hospet Rural PS
Vijayanagara,Hospet Town PS
Vijayanagara,Hospet Traffic PS
Vijayanagara,Ittigi PS
Vijayanagara,Kamalapur PS
Vijayanagara,Kottur PS
Vijayanagara,Kudligi PS
Vijayanagara,Lokayukta Vijayanagara
Vijayanagara,MCU Vijayanagara
Vijayanagara,Mariyammanahalli PS
Vijayanagara,SMMC Vijayanagara
Vijayanagara,State INT Vijayanagara
Vijayanagara,T.B. Dam PS
Vijayanagara,T.B. Halli PS
Vijayanagara,Vijayanagara
Vijayapur,APMC PS
Vijayapur,Adarsh Nagar PS
Vijayapur,Alamatti PS
Vijayapur,Almel PS
Vijayapur,Babaleshwar PS
Vijayapur,Basavan Bagewadi PS
Vijayapur,Chadachan PS
Vijayapur,Computer Sec Vijayapur
Vijayapur,Control Room Vijayapur
Vijayapur,DAR Vijayapur
Vijayapur,DCRB Vijayapur
Vijayapur,DCRE Vijayapur
Vijayapur,DPO Vijayapur
Vijayapur,DSB Vijayapur
Vijayapur,Devara Hipparagi PS
Vijayapur,ESCOM Vijayapur
Vijayapur,FPB Vijayapur
Vijayapur,Gandhi Chowk PS
Vijayapur,Golgumbaz PS
Vijayapur,Hortti PS
Vijayapur,Indi PS
Vijayapur,Indi Rural PS
Vijayapur,Jalanagar PS
Vijayapur,Kalkeri PS
Vijayapur,Kolhar PS
Vijayapur,Kudagi PS
Vijayapur,Lokayukta Vijayapur
Vijayapur,MCU Vijayapur
Vijayapur,Managuli PS
Vijayapur,Muddebihal PS
Vijayapur,Nidagundi PS
Vijayapur,SMMC Vijayapur
Vijayapur,Sindagi PS
Vijayapur,State INT Vijayapur
Vijayapur,Talikot PS
Vijayapur,Tikota PS
Vijayapur,Vijayapur
Vijayapur,Vijayapura CEN Crime PS
Vijayapur,Vijayapura Rural PS
Vijayapur,Vijayapura Traffic PS
Vijayapur,Vijayapura Women PS
Vijayapur,Zalaki PS
Yadgir,Bheemarayanagudi PS
Yadgir,Computer Sec Yadgir
Yadgir,Control Room Yadgir
Yadgir,DAR Yadgir
Yadgir,DCRB Yadgir
Yadgir,DCRE Yadgir
Yadgir,DPO Yadgir
Yadgir,DSB Yadgir
Yadgir,ESCOM Yadgir
Yadgir,FPB Yadgir
Yadgir,Gogi PS
Yadgir,Gurumitkal PS
Yadgir,Hunasagi PS
Yadgir,Kembhavi PS
Yadgir,Kodekal PS
Yadgir,Lokayukta Yadgir
Yadgir,MCU Yadgir
Yadgir,Narayanapura PS
Yadgir,SMMC Yadgir
Yadgir,Saidapur PS
Yadgir,Shahapur PS
Yadgir,Shorapur PS
Yadgir,State INT Yadgir
Yadgir,Wadigere PS
Yadgir,Yadgir
Yadgir,Yadgiri CEN Crime PS
Yadgir,Yadgiri Rural PS
Yadgir,Yadgiri Town PS
Yadgir,Yadgiri Traffic PS
Yadgir,Yadgiri Women PS
